stream_name,depth
StreamingLineBuffer_1_buffer_stream_4,113
StreamingLineBuffer_1_buffer_stream_5,113
StreamingLineBuffer_1_buffer_stream_6,17
StreamingLineBuffer_1_buffer_stream_7,17
StreamingLineBuffer_1_buffer_stream_8,129
StreamingLineBuffer_1_buffer_stream_9,129
StreamingLineBuffer_1_buffer_stream_10,113
StreamingLineBuffer_1_buffer_stream_11,113
StreamingLineBuffer_1_buffer_stream_12,17
StreamingLineBuffer_1_buffer_stream_13,17
StreamingMemory_4_out0_stream_0,2
StreamingMemory_4_out0_stream_1,2
StreamingMemory_4_out0_stream_2,2
StreamingMemory_4_out0_stream_3,2
StreamingMemory_4_out0_stream_4,2
StreamingMemory_4_out0_stream_5,2
StreamingMemory_4_out0_stream_6,2
StreamingMemory_4_out0_stream_7,2
StreamingMemory_4_out0_stream_8,2
StreamingMemory_4_out1_stream_0,2
StreamingConv_1_out0_stream_0,2
StreamingConv_1_out0_stream_1,2
StreamingConv_1_out0_stream_2,2
StreamingConv_1_out0_stream_3,2
StreamingMemory_5_out0_stream_0,2
StreamingMemory_5_out1_stream_0,2
StreamingLineBuffer_2_out0_stream_0,16
StreamingLineBuffer_2_out0_stream_1,16
StreamingLineBuffer_2_out0_stream_2,16
StreamingLineBuffer_2_out0_stream_3,16
StreamingLineBuffer_2_out0_stream_4,16
StreamingLineBuffer_2_out0_stream_5,16
StreamingLineBuffer_2_out0_stream_6,16
StreamingLineBuffer_2_out0_stream_7,16
StreamingLineBuffer_2_out0_stream_8,16
StreamingLineBuffer_2_out0_stream_9,16
StreamingLineBuffer_2_out0_stream_10,16
StreamingLineBuffer_2_out0_stream_11,16
StreamingLineBuffer_2_out0_stream_12,16
StreamingLineBuffer_2_out0_stream_13,16
StreamingLineBuffer_2_out0_stream_14,16
StreamingLineBuffer_2_out0_stream_15,16
StreamingLineBuffer_2_out0_stream_16,16
StreamingLineBuffer_2_out0_stream_17,16
StreamingLineBuffer_2_out0_stream_prepad_0,11
StreamingLineBuffer_2_out0_stream_prepad_1,7
StreamingLineBuffer_2_out0_stream_prepad_2,54
StreamingLineBuffer_2_out0_stream_prepad_3,54
StreamingLineBuffer_2_out0_stream_prepad_4,9
StreamingLineBuffer_2_out0_stream_prepad_5,5
StreamingLineBuffer_2_out0_stream_prepad_6,14
StreamingLineBuffer_2_out0_stream_prepad_7,9
StreamingLineBuffer_2_out0_stream_prepad_8,23
StreamingLineBuffer_2_out0_stream_prepad_9,23
StreamingLineBuffer_2_out0_stream_prepad_10,14
StreamingLineBuffer_2_out0_stream_prepad_11,11
StreamingLineBuffer_2_out0_stream_prepad_12,20
StreamingLineBuffer_2_out0_stream_prepad_13,16
StreamingLineBuffer_2_out0_stream_prepad_14,20
StreamingLineBuffer_2_out0_stream_prepad_15,20
StreamingLineBuffer_2_out0_stream_prepad_16,20
StreamingLineBuffer_2_out0_stream_prepad_17,16
StreamingLineBuffer_2_buffer_stream_0,5
StreamingLineBuffer_2_buffer_stream_1,5
StreamingLineBuffer_2_buffer_stream_2,33
StreamingLineBuffer_2_buffer_stream_3,33
StreamingLineBuffer_2_buffer_stream_4,29
StreamingLineBuffer_2_buffer_stream_5,29
StreamingLineBuffer_2_buffer_stream_6,5
StreamingLineBuffer_2_buffer_stream_7,5
StreamingLineBuffer_2_buffer_stream_8,33
StreamingLineBuffer_2_buffer_stream_9,33
StreamingLineBuffer_2_buffer_stream_10,29
StreamingLineBuffer_2_buffer_stream_11,29
StreamingLineBuffer_2_buffer_stream_12,5
StreamingLineBuffer_2_buffer_stream_13,5
StreamingMemory_6_out0_stream_0,2
StreamingMemory_6_out0_stream_1,2
StreamingMemory_6_out0_stream_2,2
StreamingMemory_6_out0_stream_3,2
StreamingMemory_6_out0_stream_4,2
StreamingMemory_6_out0_stream_5,2
StreamingMemory_6_out0_stream_6,2
StreamingMemory_6_out0_stream_7,2
StreamingMemory_6_out0_stream_8,2
StreamingMemory_6_out1_stream_0,2
StreamingConv_2_out0_stream_0,3
StreamingConv_2_out0_stream_1,3
StreamingConv_2_out0_stream_2,3
StreamingConv_2_out0_stream_3,3
StreamingMemory_7_out0_stream_0,2
StreamingMemory_7_out1_stream_0,2
StreamingAdd_0_out0_stream_0,4
StreamingAdd_0_out0_stream_1,4
StreamingAdd_0_out0_stream_2,4
StreamingAdd_0_out0_stream_3,4
StreamingMemory_8_out0_stream_0,2
StreamingMemory_8_out1_stream_0,2
TensorDuplicator_1_out0_stream_0,3
TensorDuplicator_1_out0_stream_1,3
TensorDuplicator_1_out0_stream_2,3
TensorDuplicator_1_out0_stream_3,3
TensorDuplicator_1_out1_stream_0,3
TensorDuplicator_1_out1_stream_1,3
TensorDuplicator_1_out1_stream_2,3
TensorDuplicator_1_out1_stream_3,3
StreamingMemory_9_out0_stream_0,2
StreamingMemory_9_out1_stream_0,2
StreamingLineBuffer_3_out0_stream_0,51
StreamingLineBuffer_3_out0_stream_1,51
StreamingLineBuffer_3_out0_stream_2,51
StreamingLineBuffer_3_out0_stream_3,51
StreamingLineBuffer_3_out0_stream_4,51
StreamingLineBuffer_3_out0_stream_5,51
StreamingLineBuffer_3_out0_stream_6,51
StreamingLineBuffer_3_out0_stream_7,51
StreamingLineBuffer_3_out0_stream_8,51
StreamingLineBuffer_3_out0_stream_9,51
StreamingLineBuffer_3_out0_stream_10,51
StreamingLineBuffer_3_out0_stream_11,51
StreamingLineBuffer_3_out0_stream_12,51
StreamingLineBuffer_3_out0_stream_13,51
StreamingLineBuffer_3_out0_stream_14,51
StreamingLineBuffer_3_out0_stream_15,51
StreamingLineBuffer_3_out0_stream_16,51
StreamingLineBuffer_3_out0_stream_17,51
StreamingLineBuffer_3_out0_stream_18,51
StreamingLineBuffer_3_out0_stream_19,51
StreamingLineBuffer_3_out0_stream_20,51
StreamingLineBuffer_3_out0_stream_21,51
StreamingLineBuffer_3_out0_stream_22,51
StreamingLineBuffer_3_out0_stream_23,51
StreamingLineBuffer_3_out0_stream_24,51
StreamingLineBuffer_3_out0_stream_25,51
StreamingLineBuffer_3_out0_stream_26,51
StreamingLineBuffer_3_out0_stream_prepad_0,19
StreamingLineBuffer_3_out0_stream_prepad_1,51
StreamingLineBuffer_3_out0_stream_prepad_2,35
StreamingLineBuffer_3_out0_stream_prepad_3,35
StreamingLineBuffer_3_out0_stream_prepad_4,5
StreamingLineBuffer_3_out0_stream_prepad_5,40
StreamingLineBuffer_3_out0_stream_prepad_6,24
StreamingLineBuffer_3_out0_stream_prepad_7,24
StreamingLineBuffer_3_out0_stream_prepad_8,6
StreamingLineBuffer_3_out0_stream_prepad_9,20
StreamingLineBuffer_3_out0_stream_prepad_10,36
StreamingLineBuffer_3_out0_stream_prepad_11,25
StreamingLineBuffer_3_out0_stream_prepad_12,25
StreamingLineBuffer_3_out0_stream_prepad_13,20
