stream_name,depth
StreamingConv_2_out0_stream_0,2
StreamingConv_2_out0_stream_1,2
StreamingMemory_10_out0_stream_0,2
StreamingMemory_10_out1_stream_0,2
StreamingLineBuffer_4_out0_stream_0,4
StreamingLineBuffer_4_out0_stream_1,4
StreamingLineBuffer_4_out0_stream_2,4
StreamingLineBuffer_4_out0_stream_3,4
StreamingLineBuffer_4_out0_stream_4,4
StreamingLineBuffer_4_out0_stream_5,4
StreamingLineBuffer_4_out0_stream_6,4
StreamingLineBuffer_4_out0_stream_7,4
StreamingLineBuffer_4_out0_stream_8,4
StreamingLineBuffer_4_out0_stream_9,4
StreamingLineBuffer_4_out0_stream_10,4
StreamingLineBuffer_4_out0_stream_11,4
StreamingLineBuffer_4_out0_stream_12,4
StreamingLineBuffer_4_out0_stream_13,4
StreamingLineBuffer_4_out0_stream_14,4
StreamingLineBuffer_4_out0_stream_prepad_0,35
StreamingLineBuffer_4_out0_stream_prepad_1,99
StreamingLineBuffer_4_out0_stream_prepad_2,5
StreamingLineBuffer_4_out0_stream_prepad_3,72
StreamingLineBuffer_4_out0_stream_prepad_4,6
StreamingLineBuffer_4_out0_stream_prepad_5,36
StreamingLineBuffer_4_out0_stream_prepad_6,68
StreamingLineBuffer_4_out0_stream_prepad_7,36
StreamingLineBuffer_4_out0_stream_prepad_8,68
StreamingLineBuffer_4_out0_stream_prepad_9,36
StreamingLineBuffer_4_out0_stream_prepad_10,42
StreamingLineBuffer_4_out0_stream_prepad_11,43
StreamingLineBuffer_4_out0_stream_prepad_12,43
StreamingLineBuffer_4_out0_stream_prepad_13,44
StreamingLineBuffer_4_out0_stream_prepad_14,44
StreamingLineBuffer_4_buffer_stream_0,33
StreamingLineBuffer_4_buffer_stream_1,33
StreamingLineBuffer_4_buffer_stream_2,33
StreamingLineBuffer_4_buffer_stream_3,1761
StreamingLineBuffer_4_buffer_stream_4,1729
StreamingLineBuffer_4_buffer_stream_5,33
StreamingLineBuffer_4_buffer_stream_6,33
StreamingLineBuffer_4_buffer_stream_7,33
StreamingLineBuffer_4_buffer_stream_8,1761
StreamingLineBuffer_4_buffer_stream_9,1729
StreamingLineBuffer_4_buffer_stream_10,33
StreamingLineBuffer_4_buffer_stream_11,33
StreamingLineBuffer_4_buffer_stream_12,33
StreamingMemory_11_out0_stream_0,2
StreamingMemory_11_out1_stream_0,2
StreamingDepthwiseConv_1_out0_stream_0,3
StreamingDepthwiseConv_1_out0_stream_1,3
StreamingMemory_12_out0_stream_0,2
StreamingMemory_12_out1_stream_0,2
BandwidthAdjustIncreaseStreams_0_out0_stream_0,3
BandwidthAdjustIncreaseStreams_0_out0_stream_1,3
BandwidthAdjustIncreaseStreams_0_out0_stream_2,3
BandwidthAdjustIncreaseStreams_0_out0_stream_3,3
StreamingMemory_13_out0_stream_0,2
StreamingMemory_13_out1_stream_0,2
StreamingLineBuffer_5_out0_stream_0,254
StreamingLineBuffer_5_out0_stream_1,254
StreamingLineBuffer_5_out0_stream_2,246
StreamingLineBuffer_5_out0_stream_3,246
StreamingMemory_14_out0_stream_0,2
StreamingMemory_14_out0_stream_1,2
StreamingMemory_14_out0_stream_2,2
StreamingMemory_14_out0_stream_3,2
StreamingMemory_14_out0_stream_4,2
StreamingMemory_14_out0_stream_5,2
StreamingMemory_14_out0_stream_6,2
StreamingMemory_14_out0_stream_7,2
StreamingMemory_14_out0_stream_8,2
StreamingMemory_14_out1_stream_0,2
StreamingConv_3_out0_stream_0,3
StreamingConv_3_out0_stream_1,3
StreamingConv_3_out0_stream_2,3
StreamingConv_3_out0_stream_3,3
StreamingMemory_15_out0_stream_0,2
StreamingMemory_15_out1_stream_0,2
TensorDuplicator_0_out0_stream_0,7
TensorDuplicator_0_out0_stream_1,7
TensorDuplicator_0_out0_stream_2,7
TensorDuplicator_0_out0_stream_3,7
TensorDuplicator_0_out1_stream_0,7
TensorDuplicator_0_out1_stream_1,7
TensorDuplicator_0_out1_stream_2,7
TensorDuplicator_0_out1_stream_3,7
StreamingMemory_16_out0_stream_0,2
StreamingMemory_16_out1_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_0,3
BandwidthAdjustDecreaseChannels_0_out0_stream_1,3
BandwidthAdjustDecreaseChannels_0_out0_stream_2,3
BandwidthAdjustDecreaseChannels_0_out0_stream_3,3
BandwidthAdjustDecreaseChannels_1_out0_stream_0,458
BandwidthAdjustDecreaseChannels_1_out0_stream_1,458
BandwidthAdjustDecreaseChannels_1_out0_stream_2,458
