stream_name,depth
NHWCToStream_0_out0_stream_0,3
NHWCToStream_1_out0_stream_0,2
BandwidthAdjustIncreaseStreams_0_out0_stream_0,3
BandwidthAdjustIncreaseStreams_0_out0_stream_1,3
StreamingMemory_0_out0_stream_0,2
StreamingMemory_0_out0_stream_1,2
StreamingMemory_0_out0_stream_2,2
StreamingMemory_0_out0_stream_3,2
StreamingMemory_0_out0_stream_4,2
StreamingMemory_0_out0_stream_5,2
StreamingMemory_0_out0_stream_6,2
StreamingMemory_0_out0_stream_7,2
StreamingMemory_0_out0_stream_8,2
StreamingMemory_0_out1_stream_0,2
StreamingLineBuffer_0_out0_stream_0,10
StreamingLineBuffer_0_out0_stream_1,10
StreamingLineBuffer_0_out0_stream_2,10
StreamingLineBuffer_0_out0_stream_3,10
StreamingLineBuffer_0_out0_stream_4,10
StreamingLineBuffer_0_out0_stream_5,10
StreamingLineBuffer_0_out0_stream_6,10
StreamingLineBuffer_0_out0_stream_7,10
StreamingLineBuffer_0_out0_stream_8,10
StreamingLineBuffer_0_out0_stream_9,10
StreamingLineBuffer_0_out0_stream_10,10
StreamingLineBuffer_0_out0_stream_11,10
StreamingLineBuffer_0_out0_stream_prepad_0,13
StreamingLineBuffer_0_out0_stream_prepad_1,12
StreamingLineBuffer_0_out0_stream_prepad_2,11
StreamingLineBuffer_0_out0_stream_prepad_3,10
StreamingLineBuffer_0_out0_stream_prepad_4,11
StreamingLineBuffer_0_out0_stream_prepad_5,9
StreamingLineBuffer_0_out0_stream_prepad_6,10
StreamingLineBuffer_0_out0_stream_prepad_7,10
StreamingLineBuffer_0_out0_stream_prepad_8,11
StreamingLineBuffer_0_out0_stream_prepad_9,10
StreamingLineBuffer_0_out0_stream_prepad_10,11
StreamingLineBuffer_0_out0_stream_prepad_11,10
StreamingLineBuffer_0_buffer_stream_0,4
StreamingLineBuffer_0_buffer_stream_1,4
StreamingLineBuffer_0_buffer_stream_2,46
StreamingLineBuffer_0_buffer_stream_3,46
StreamingLineBuffer_0_buffer_stream_4,4
StreamingLineBuffer_0_buffer_stream_5,4
StreamingLineBuffer_0_buffer_stream_6,46
StreamingLineBuffer_0_buffer_stream_7,46
StreamingLineBuffer_0_buffer_stream_8,4
StreamingLineBuffer_0_buffer_stream_9,4
StreamingMemory_1_out0_stream_0,2
StreamingMemory_1_out1_stream_0,2
StreamingConv_0_out0_stream_0,3
StreamingConv_0_out0_stream_1,3
StreamingMemory_2_out0_stream_0,2
StreamingMemory_2_out0_stream_1,2
StreamingMemory_2_out0_stream_2,2
StreamingMemory_2_out0_stream_3,2
StreamingMemory_2_out0_stream_4,2
StreamingMemory_2_out0_stream_5,2
