design_name,optimizer_name,n_total,n_no_deadlock,n_deadlock
Autoencoder__opt5,random_search,100000,100000,0
Autoencoder__opt5,group_random_search,10000,10000,0
Autoencoder__opt5,heuristic,1872,1872,0
DepthwiseSeparableConvBlock__opt5,random_search,100000,100000,0
DepthwiseSeparableConvBlock__opt5,group_random_search,10000,10000,0
DepthwiseSeparableConvBlock__opt5,heuristic,180,180,0
FeedForward__opt5,random_search,100000,100000,0
FeedForward__opt5,group_random_search,10000,10000,0
FeedForward__opt5,heuristic,1836,1836,0
ResMLP__opt5,random_search,100000,1,99999
ResMLP__opt5,group_random_search,10000,4945,5055
ResMLP__opt5,heuristic,2268,2172,96
ResidualBlock__opt5,random_search,100000,100000,0
ResidualBlock__opt5,group_random_search,10000,10000,0
ResidualBlock__opt5,heuristic,180,180,0
atax__opt5,random_search,100000,100000,0
atax__opt5,group_random_search,10000,10000,0
atax__opt5,heuristic,1002,1002,0
bicg__opt5,random_search,100000,100000,0
bicg__opt5,group_random_search,10000,10000,0
bicg__opt5,heuristic,12,12,0
gemm__opt5,random_search,100000,100000,0
gemm__opt5,group_random_search,10000,10000,0
gemm__opt5,heuristic,12,12,0
gesummv__opt5,random_search,100000,100000,0
gesummv__opt5,group_random_search,10000,10000,0
gesummv__opt5,heuristic,12,12,0
k2mm__opt5,random_search,100000,100000,0
k2mm__opt5,group_random_search,10000,10000,0
k2mm__opt5,heuristic,132,132,0
k3mm__opt5,random_search,100000,100000,0
k3mm__opt5,group_random_search,10000,10000,0
k3mm__opt5,heuristic,420,420,0
k7mmseq_balanced__opt5,random_search,100000,100000,0
k7mmseq_balanced__opt5,group_random_search,10000,10000,0
k7mmseq_balanced__opt5,heuristic,588,588,0
k7mmseq_unbalanced__opt5,random_search,100000,100000,0
k7mmseq_unbalanced__opt5,group_random_search,10000,10000,0
k7mmseq_unbalanced__opt5,heuristic,636,636,0
k7mmtree_balanced__opt5,random_search,100000,18,99982
k7mmtree_balanced__opt5,group_random_search,10000,4951,5049
k7mmtree_balanced__opt5,heuristic,420,348,72
k7mmtree_unbalanced__opt5,random_search,100000,100000,0
k7mmtree_unbalanced__opt5,group_random_search,10000,10000,0
k7mmtree_unbalanced__opt5,heuristic,732,732,0
mvt__opt5,random_search,100000,100000,0
mvt__opt5,group_random_search,10000,10000,0
mvt__opt5,heuristic,12,12,0
