latency,bram,latency_bram_product,design_name,optimizer_name
16795,48,806160,k7mmseq_unbalanced__opt5,init_simulated_annealing
15985,64,1023040,k7mmseq_unbalanced__opt5,init_simulated_annealing
10433,144,1502352,k7mmseq_unbalanced__opt5,init_simulated_annealing
10035,208,2087280,k7mmseq_unbalanced__opt5,init_simulated_annealing
26208,74,1939392,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
26004,82,2132328,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
26079,76,1982004,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
23290,92,2142680,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
23164,96,2223744,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
26321,72,1895112,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
23089,124,2863036,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
23067,128,2952576,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
15596,80,1247680,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
10433,144,1502352,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
12629,128,1616512,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
26138,0,0,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
19719,32,631008,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
16795,48,806160,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
15985,64,1023040,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
13247,112,1483664,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
23214,16,371424,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
10234,176,1801184,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
10035,208,2087280,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
13636,96,1309056,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
11541,32,369312,k7mmtree_balanced__opt5,group_random_search
8261,96,793056,k7mmtree_balanced__opt5,group_random_search
8514,64,544896,k7mmtree_balanced__opt5,group_random_search
8260,104,859040,k7mmtree_balanced__opt5,heuristic
11303,102,1152906,k7mmtree_balanced__opt5,heuristic
11541,32,369312,k7mmtree_balanced__opt5,init_simulated_annealing
8261,96,793056,k7mmtree_balanced__opt5,init_simulated_annealing
8514,64,544896,k7mmtree_balanced__opt5,init_simulated_annealing
8261,96,793056,k7mmtree_balanced__opt5,grouped_discrete_simulated_annealing
8514,64,544896,k7mmtree_balanced__opt5,grouped_discrete_simulated_annealing
11541,32,369312,k7mmtree_balanced__opt5,grouped_discrete_simulated_annealing
18379,88,1617352,k7mmtree_unbalanced__opt5,random_search
18251,116,2117116,k7mmtree_unbalanced__opt5,random_search
15359,132,2027388,k7mmtree_unbalanced__opt5,random_search
18343,102,1870986,k7mmtree_unbalanced__opt5,random_search
18235,122,2224670,k7mmtree_unbalanced__opt5,random_search
11285,64,722240,k7mmtree_unbalanced__opt5,group_random_search
15095,16,241520,k7mmtree_unbalanced__opt5,group_random_search
8749,144,1259856,k7mmtree_unbalanced__opt5,group_random_search
18124,0,0,k7mmtree_unbalanced__opt5,group_random_search
11083,80,886640,k7mmtree_unbalanced__opt5,group_random_search
8749,144,1259856,k7mmtree_unbalanced__opt5,heuristic
11000,142,1562000,k7mmtree_unbalanced__opt5,heuristic
11285,64,722240,k7mmtree_unbalanced__opt5,init_simulated_annealing
15095,16,241520,k7mmtree_unbalanced__opt5,init_simulated_annealing
8749,144,1259856,k7mmtree_unbalanced__opt5,init_simulated_annealing
18124,0,0,k7mmtree_unbalanced__opt5,init_simulated_annealing
11083,80,886640,k7mmtree_unbalanced__opt5,init_simulated_annealing
15359,104,1597336,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
15124,120,1814880,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
18343,86,1577498,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
18251,96,1752096,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
8749,144,1259856,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
18124,0,0,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
11285,64,722240,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
15095,16,241520,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
11083,80,886640,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
992,228,226176,mvt__opt5,random_search
666,0,0,mvt__opt5,group_random_search
666,0,0,mvt__opt5,heuristic
666,0,0,mvt__opt5,init_simulated_annealing
992,240,238080,mvt__opt5,discrete_simulated_annealing
666,0,0,mvt__opt5,grouped_discrete_simulated_annealing
